17
#n I C Kb k M1 M2 h db Sut gs Sr Ma Mm ga gm nf R 
#l Matrix_Index 
1.91748e-12 12.8 1.0619 0.0342882 1.20009 2.22873 0.00765 0.0345 1.99959e+09 1.54285e+09 9.99796e+08 0.514323 1.71441 3.56042e+08 1.18681e+09 -1.01099 0.538462  1
2.69565e-12 11.7551 1.06776 0.0482035 1.68712 3.13323 0.00831667 0.0347222 1.98157e+09 1.68925e+09 9.90786e+08 0.723053 2.41018 3.89827e+08 1.29942e+09 -0.918362 0.538462  2
3.68963e-12 10.8679 1.07367 0.0659778 2.30922 4.28856 0.00898333 0.0349444 1.96511e+09 1.83727e+09 9.82556e+08 0.989668 3.29889 4.23986e+08 1.41329e+09 -0.840136 0.538462  3
4.93605e-12 10.1053 1.07965 0.0882661 3.08931 5.7373 0.00965 0.0351667 1.94997e+09 1.98694e+09 9.74986e+08 1.32399 4.41331 4.58524e+08 1.52841e+09 -0.773224 0.538462  4
6.4744e-12 9.44262 1.0857 0.115775 4.05212 7.52536 0.0103167 0.0353889 1.93596e+09 2.13828e+09 9.67982e+08 1.73662 5.78874 4.9345e+08 1.64483e+09 -0.715361 0.538462  5
8.34706e-12 8.86154 1.09181 0.149262 5.22416 9.702 0.0109833 0.0356111 1.92294e+09 2.29133e+09 9.61469e+08 2.23892 7.46308 5.28768e+08 1.76256e+09 -0.664842 0.538462  6
1.05993e-11 8.34783 1.098 0.189536 6.63375 12.3198 0.01165 0.0358333 1.91077e+09 2.44611e+09 9.55384e+08 2.84304 9.47678 5.64486e+08 1.88162e+09 -0.620366 0.538462  7
1.32792e-11 7.89041 1.10425 0.237458 8.31102 15.4347 0.0123167 0.0360556 1.89936e+09 2.60265e+09 9.49678e+08 3.56186 11.8729 6.00611e+08 2.00204e+09 -0.580921 0.538462  8
1.64378e-11 7.48052 1.11057 0.293939 10.2879 19.106 0.0129833 0.0362778 1.88862e+09 2.76098e+09 9.44308e+08 4.40909 14.697 6.3715e+08 2.12383e+09 -0.545706 0.538462  9
2.01289e-11 7.11111 1.11697 0.359944 12.598 23.3963 0.01365 0.0365 1.87848e+09 2.92115e+09 9.39238e+08 5.39916 17.9972 6.74112e+08 2.24704e+09 -0.514082 0.538462  10
1.91748e-12 13 1.0609 0.0337607 1.18162 2.19444 0.00765 0.035 1.99959e+09 1.51767e+09 9.99796e+08 0.50641 1.68803 3.50232e+08 1.16744e+09 -1.02776 0.538462  11
2.69565e-12 11.9388 1.06665 0.0474619 1.66117 3.08503 0.00831667 0.0352222 1.98157e+09 1.66154e+09 9.90786e+08 0.711929 2.3731 3.83431e+08 1.2781e+09 -0.93368 0.538462  12
3.68963e-12 11.0377 1.07246 0.0649628 2.2737 4.22258 0.00898333 0.0354444 1.96511e+09 1.80697e+09 9.82556e+08 0.974442 3.24814 4.16992e+08 1.38997e+09 -0.854226 0.538462  13
4.93605e-12 10.2632 1.07834 0.0869082 3.04179 5.64903 0.00965 0.0356667 1.94997e+09 1.95399e+09 9.74986e+08 1.30362 4.34541 4.5092e+08 1.50307e+09 -0.786265 0.538462  14
6.4744e-12 9.59016 1.08427 0.113994 3.98978 7.40959 0.0103167 0.0358889 1.93596e+09 2.10262e+09 9.67982e+08 1.7099 5.69968 4.85221e+08 1.6174e+09 -0.727493 0.538462  15
8.34706e-12 9 1.09028 0.146965 5.14378 9.55274 0.0109833 0.0361111 1.92294e+09 2.2529e+09 9.61469e+08 2.20448 7.34826 5.19901e+08 1.733e+09 -0.676181 0.538462  16
